SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
1284,Chicago,WB,Lake Shore Dr,Michigan,0.37,E,,-87.617048,41.896936,-87.624241,41.896835,100,00:00.0
951,Washington,WB,Kedzie,Schraeder,0.28,W,,-87.70616912,41.88293153,-87.71174729,41.88281847,100,51:00.0
750,Elston,SE,Milwaukee,Austin,0.33,N,,-87.78322435,41.9926646,-87.77807307,41.98990512,100,51:10.0
1164,Harlem,SB,Ogden,Pershing,0.173022844,S,Outside City Limits,-87.80292191,41.82375081,-87.8030252,41.82124483,100,51:15.0
1122,127th,EB,Western,I-57 Expy,0.907892222,W,Outside City Limits,-87.68007697,41.66251165,-87.66253984,41.66284973,100,51:06.0
682,Dr Martin L King Jr,NB,Bishop Ford Expy,95th,0.58,S,,-87.61377146,41.71344133,-87.61397181,41.72185538,100,50:44.0
794,Hollywood,WB,Lake Shore Dr,Ridge,0.45,W,part of Peterson,-87.6535172,41.98553395,-87.66240363,41.98518009,100,50:56.0
964,Ramp To Kennedy,WB,Orleans,Kennedy Expy,0.57,W,Oneway,-87.63709952,41.89315033,-87.64817988,41.8925172,100,51:01.0
701,Dr Martin L King Jr,SB,95th,Bishop Ford Expy,0.58,S,,-87.61433809,41.72185768,-87.61413769,41.71344362,100,50:45.0
432,31st,EB,Dan Ryan Expy,State,0.49,W,,-87.63039364,41.83807234,-87.62676844,41.83821569,100,50:26.0
728,Elston,NW,Pulaski,Kostner,0.71,N,,-87.72765935,41.95966375,-87.73770802,41.96661883,100,50:46.0
748,Elston,SE,Central,Laramie,0.69,N,,-87.76852077,41.98503261,-87.7580107,41.97894803,100,50:53.0
989,Touhy,EB,I-90 Expy,Mannheim,0.98,W,outside city limits,-87.90488449,42.00875855,-87.8857938,42.0094925,100,51:07.0
462,95th,EB,Baltimore,Ewing,0.6,E,,-87.54832288,41.72262051,-87.53654438,41.72280299,100,50:47.0
434,31st,EB,Dr Martin Luther King Jr Dr,Moe Dr,0.39,E,,-87.61741441,41.83827906,-87.60984396,41.83839335,100,50:26.0
1143,Harlem,NB,47th,41ST,0.777183217,S,Outside City Limits,-87.80180358,41.80635422,-87.80223878,41.81761054,100,51:14.0
991,Touhy,EB,I-294 Expy,Dee Rd,0.66,W,outside city limits,-87.86846,42.00992855,-87.85546041,42.0103801,100,51:07.0
436,31st,WB,State,Dan Ryan Expy,0.49,E,,-87.62676542,41.8384901,-87.63039066,41.83834676,100,50:26.0
1139,Harlem,NB,6700 South,63rd,0.261893471,S,Outside City Limits,-87.80465357,41.77064486,-87.80071556,41.77729068,100,51:13.0
1004,Touhy,EB,Rogers,Clark,0.41,W,,-87.68269772,42.01237682,-87.67469534,42.01251925,100,51:08.0
1065,Washington,WB,Kostner,Cicero,0.510504045,W,,-87.74536029,41.88212644,-87.73545778,41.88208991,100,51:03.0
1155,Harlem,SB,79th,87th,1.02154902,S,Outside City Limits,-87.80000734,41.7483295,-87.79929815,41.73353707,100,51:14.0
982,Torrence,SB,126TH PL,130th,0.48,S,,-87.55902139,41.66617228,-87.55946996,41.65919342,100,51:07.0
562,Cicero,NB,83rd,79th,0.5,S,,-87.74082876,41.74197845,-87.74126324,41.74920146,100,50:37.0
983,Torrence,SB,122ND,126TH PL,0.52,S,,-87.55943197,41.67376843,-87.55902139,41.66617228,100,51:07.0
561,Cicero,NB,87th,83rd,0.51,S,,-87.74089685,41.73457047,-87.74082876,41.74197845,100,50:37.0
1020,Touhy,WB,Ridge,Western,0.36,W,,-87.6830645,42.01237977,-87.69023952,42.01243729,100,50:54.0
438,31st,WB,Moe,Dr Martin L King Jr,0.39,E,,-87.60984087,41.83866775,-87.61741135,41.83855347,100,50:26.0
1042,Washington,EB,Kostner,Pulaski,0.5,W,,-87.73546034,41.88181549,-87.7257303,41.88185203,100,50:55.0
668,Cumberland,NB,Irving Park,Montrose,0.51,N,,-87.83647649,41.95204872,-87.836524,41.95937465,100,51:11.0
1131,Cicero,SB,87th,95th,0.987950843,S,Outside City Limits,-87.74129936,41.73446224,-87.7409912,41.72014901,100,51:11.0
1012,Touhy,WB,Milwaukee,Harlem,0.27,W,outside city limits,-87.80129332,42.0121341,-87.80657598,42.01185385,100,50:53.0
732,Elston,NW,Central,Austin,0.6,N,,-87.768153,41.9850308,-87.77770526,41.98990334,100,50:46.0
1069,87th,WB,Cicero,Central,1.011124862,W,Outside City Limits,-87.74107328,41.73474374,-87.76062664,41.73437358,100,50:32.0
1114,87th,WB,Central,Ridgeland,0.994779835,W,Outside City Limits,-87.76062664,41.73437358,-87.77986447,41.73402876,100,51:05.0
613,Lake Shore Dr,SW,Balbo,Roosevelt,0.41,S,,-87.61749612,41.8732575,-87.61903825,41.86746738,100,21:14.0
1019,Touhy,WB,Western,California,0.48,W,,-87.69023952,42.01243729,-87.6997439,42.01225079,100,50:53.0
865,Jefferson,NB,Roosevelt,Harrison,0.49,S,,-87.64203136,41.86728021,-87.64224538,41.8743971,100,50:58.0
733,Elston,NW,Austin,Milwaukee,0.33,N,,-87.77770526,41.98990334,-87.7828565,41.99266284,100,50:46.0
630,Cicero,SB,83rd,87th,0.51,S,,-87.74119517,41.74198033,-87.74126321,41.73457237,100,51:16.0
1093,Cicero,NB,111th,103rd,1.008486946,S,Outside City Limits,-87.73957476,41.69096945,-87.74007393,41.70557738,100,51:04.0
1023,Ramp from EB Congress Pky to Wacker Dr,NW,Congress,Van Buren,0.08,S,,-87.63580185,41.87570006,-87.63665943,41.87680423,100,50:54.0
1275,Madison,EB,Halsted,DesPlaines,0.17,E,,-87.647361,41.881676,-87.644126,41.88172,100,00:00.0
1168,Harlem,SB,I-290 Expy,Roosevelt,0.59076378,S,Outside City Limits,-87.80473798,41.87364998,-87.8044753,41.86509445,100,51:12.0
749,Elston,SE,Austin,Central,0.6,N,,-87.77807307,41.98990512,-87.76852077,41.98503261,100,50:53.0
1141,Harlem,NB,53RD,I-55 Expy,0.25610823,S,Outside City Limits,-87.8015093,41.79581204,-87.80176472,41.79951801,100,51:14.0
1161,Harlem,SB,47th,I-55 Expy,0.471806001,S,Outside City Limits,-87.80220358,41.80635422,-87.80216472,41.79951801,100,51:14.0
1194,Oakwood,EB,Cottage Grove,Lake Shore Dr,0.35,E,,-87.60689442,41.82387853,-87.60092442,41.82512853,100,31:24.0
952,Washington,WB,Schraeder,Warren,0.07,W,,-87.71174729,41.88281847,-87.71254573,41.88189798,100,51:00.0
723,Elston,NW,Damen,Western,0.7,N,,-87.6777182,41.92536423,-87.68770285,41.93215572,100,50:46.0
1032,Ramp To Wb Congress Pky,SE,Van Buren,Congress,0.08,S,,-87.63702659,41.87680645,-87.63616901,41.87570229,100,50:54.0
1149,Harlem,NB,Roosevelt,I-290 Expy,0.59076378,S,Outside City Limits,-87.8039753,41.86509445,-87.80433798,41.87364998,100,51:14.0
1174,Jackson,EB,Columbus,Lake Shore Dr,0.167479459,E,,-87.62067868,41.87819453,-87.61743223,41.87823871,100,51:12.0
990,Touhy,EB,Mannheim,I-294 Expy,0.89,W,outside city limits,-87.8857938,42.0094925,-87.86846,42.00992855,100,51:07.0
1147,Harlem,NB,26th,Cermak,0.504271882,S,Outside City Limits,-87.80325002,41.84311503,-87.80352373,41.85041879,100,51:14.0
1112,87th,EB,Central,Cicero,1.011124862,W,Outside City Limits,-87.76062907,41.73409916,-87.74107581,41.73446932,100,51:05.0
1006,Touhy,WB,Mannheim,I-90 Expy,0.98,W,outside city limits,-87.88579187,42.00976692,-87.90488265,42.00903297,100,51:10.0
1094,Roosevelt,EB,Harlem,Ridgeland,1.04519885,W,Outside City Limits,-87.80419733,41.86488142,-87.78394363,41.86525559,100,51:04.0
1128,Cicero,SB,111th,I-294 Expy,1.936425526,S,Outside City Limits,-87.73994088,41.69097134,-87.73878212,41.66292637,100,50:55.0
657,Congress,EB,Michigan,Columbus,0.18,E,,-87.62425482,41.87559949,-87.62058952,41.87563104,100,51:10.0
1130,Cicero,SB,95th,103rd,1.005926699,S,Outside City Limits,-87.7409912,41.72014901,-87.74044013,41.70557927,100,51:13.0
1129,Cicero,SB,103rd,111th,1.008486946,S,Outside City Limits,-87.74044013,41.70557927,-87.73994088,41.69097134,100,51:13.0
1088,127th,WB,Halsted,I-57 Expy,1.095933181,W,Outside City Limits,-87.64136541,41.66346792,-87.66253699,41.66312415,100,51:04.0
671,Cumberland,SB,Montrose,Irving Park,0.51,N,,-87.83689165,41.95937624,-87.8368441,41.95205031,100,50:44.0
1041,Washington,EB,Cicero,Kostner,0.51,W,,-87.74535777,41.88173519,-87.73546034,41.88181549,100,50:54.0
953,Ramp To Eb Ohio St,EB,Kennedy Expy,Orleans,0.63,W,Oneway,-87.64943325,41.89242862,-87.63704756,41.89238166,100,51:00.0
1146,Harlem,NB,Ogden,26th,1.336960097,S,Outside City Limits,-87.80252191,41.82375081,-87.80325002,41.84311503,100,51:14.0
675,Ramp To Cermak Rd,NB,26th,Cermak,0.5,S,,-87.63092373,41.84555404,-87.63079176,41.85283282,100,50:44.0
655,Congress,EB,Clark,State,0.15,W,,-87.63067919,41.87544914,-87.62763074,41.87548468,100,50:43.0
1150,Harlem,NB,I-290 Expy,Madison,0.417640778,S,Outside City Limits,-87.80433798,41.87364998,-87.80454881,41.87969928,100,51:14.0
724,Elston,NW,Western,California,0.69,N,,-87.68770285,41.93215572,-87.69754278,41.93895101,100,50:46.0
1137,Harlem,NB,79th,71st,0.998187349,S,Outside City Limits,-87.79960734,41.7483295,-87.800074,41.7627887,100,51:13.0
1002,Touhy,EB,California,Western,0.48,W,,-87.69974663,42.01197638,-87.69024229,42.01216289,100,50:50.0
1066,Washington,WB,Pulaski,Kostner,0.501846836,W,,-87.7354629,41.88212644,-87.7257277,41.88212644,100,51:03.0
1119,127th,EB,I-294 Expy,Pulaski,0.883600755,W,Outside City Limits,-87.73623893,41.66170293,-87.71917089,41.66202464,100,51:06.0
1087,127th,WB,I-57 Expy,Western,0.907892222,W,Outside City Limits,-87.66253699,41.66312415,-87.6800742,41.66278607,100,51:11.0
1014,Touhy,WB,Lehigh,Caldwell,0.79,W,outside city limits,-87.77340615,42.01200145,-87.78884176,42.01207571,100,21:12.0
1138,Harlem,NB,71st,6700 South,0.591573842,S,Outside City Limits,-87.800074,41.7627887,-87.80465357,41.77064486,100,51:13.0
993,Touhy,EB,Northwest Hwy,Oriole,0.68,W,outside city limits,-87.82959845,42.01107631,-87.81632773,42.01132191,100,51:07.0
164,Ashland,SB,Lawrence,Montrose,0.5,N,,-87.66962294,41.96887804,-87.66944196,41.96159263,100,40:04.0
819,Torrence,NB,126TH PL,122ND,0.52,S,,-87.55865544,41.66616982,-87.55906597,41.67376597,100,51:09.0
